Producto,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete,Fecha,Precio por Paquete,Paquetes,Piezas por Paquete
Sico,17-may-26,67.91,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevia,15-may-26,84.5,1,1,10-mar-26,91,1,1,13-nov-25,97,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabón Neutro,15-may-26,13.5,2,1,06-abr-26,74.67,1,4,13-dic-25,68,1,4,13-nov-25,53.83,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galletas Gaveti,17-may-26,199,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn Flakes,17-may-26,50,1,1,27-abr-26,46.8,1,1,10-mar-26,40,1,1,03-feb-26,43.05,2,1,13-dic-25,62,1,1,13-nov-25,52.7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puré Tomate,17-may-26,7.5,4,1,27-abr-26,7.5,3,1,17-abr-26,8.5,1,1,08-abr-26,8.5,2,1,26-mar-26,8.75,1,1,14-mar-26,8.75,2,1,12-mar-26,9,1,1,10-mar-26,8.75,4,1,15-feb-26,9,1,1,03-feb-26,8.75,2,1,03-feb-26,8.75,4,1,02-ene-26,9,4,1,13-dic-25,8.75,2,1,14-nov-25,8.24,1,1,13-nov-25,9,8,1,01-nov-25,8.24,1,1,01-nov-25,9,2,1
Papel Higiénico,17-may-26,29,1,4,17-abr-26,81,2,6,06-abr-26,81,1,6,15-mar-26,76,1,6,02-ene-26,109.07,1,18,13-nov-25,127.2,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheerios,17-may-26,54,1,1,09-abr-26,54,1,1,15-feb-26,54,1,1,03-feb-26,59.3,2,1,03-feb-26,59.2,1,1,02-ene-26,59.2,1,1,13-nov-25,54,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frijol Bolsa,10-may-26,15.81,3,1,27-abr-26,15.81,1,1,08-abr-26,15.81,3,1,14-mar-26,18.6,3,1,10-mar-26,17.67,2,1,15-feb-26,17.67,1,1,12-feb-26,18.6,1,1,03-feb-26,18.6,1,1,03-feb-26,18.6,1,1,02-dic-25,11.63,6,1,13-nov-25,11.63,6,1,01-nov-25,11.63,1,1,,,,,,,,,,,,,,,,,,,,
Carlos V,27-abr-26,50,1,14,17-abr-26,50,1,14,06-abr-26,47.5,1,1,14-mar-26,50,1,14,03-feb-26,130.5,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café Grano,27-abr-26,115.41,1,1,10-mar-26,116,1,1,13-nov-25,164,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toallas Cocina,06-may-26,22,1,1,08-abr-26,27.5,1,1,03-feb-26,29,1,1,02-ene-26,25.9,1,1,13-nov-25,29,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa Tomate,17-abr-26,52,1,1,12-mar-26,44,1,1,15-feb-26,55,1,1,13-nov-25,54,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena,17-abr-26,19.9,1,1,12-mar-26,19.9,1,1,13-nov-25,16.4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chokis,17-abr-26,60.4,1,7,10-mar-26,52.5,1,7,03-feb-26,50.4,1,7,02-dic-25,52,1,7,14-nov-25,52,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloro,17-abr-26,28,1,1,21-ene-26,17.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatina,08-abr-26,195,1,1,14-nov-25,195.85,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barilla Tornillo,08-abr-26,20.02,2,1,03-feb-26,19,1,1,21-ene-26,19,1,1,13-dic-25,19.5,1,1,13-nov-25,19.5,2,1,01-nov-25,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinagre Balsámico,08-abr-26,48.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKKO Avellana,08-abr-26,119,1,1,03-feb-26,119,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubriderm,06-abr-26,89.92,1,0.4,13-nov-25,131.25,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mennen Shampoo,06-abr-26,69.22,1,1,03-feb-26,68.25,1,1,13-nov-25,60,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroz,14-mar-26,17.5,1,1,12-mar-26,17.5,1,1,10-mar-26,17.5,1,1,14-nov-25,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atún Lata,14-mar-26,34.29,2,1,10-mar-26,40.34,1,1,13-nov-25,43,6,1,01-nov-25,44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampones,14-mar-26,41,1,8,12-feb-26,41,1,8,13-nov-25,43,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta Dental,17-mar-26,33.93,1,1,12-feb-26,41.67,1,1,13-nov-25,54,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Oléico,12-mar-26,69.45,1,1,13-nov-25,64,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papel Húmedo,12-mar-26,45,1,1,15-feb-26,47,1,1,02-ene-26,39.05,1,1,13-dic-25,35,1,1,13-nov-25,45,3,1,01-nov-25,36.19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nescafé,12-mar-26,125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikkoman Soya,12-mar-26,71,1,1,02-dic-25,78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axión,10-mar-26,37.5,2,1.4,12-feb-26,68,1,1.4,02-dic-25,48.7,1,1.4,14-nov-25,80,1,1.4,13-nov-25,33.28,1,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desodorante ArmHammer,10-mar-26,65,1,1,15-feb-26,66.93,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arroz Integral,10-mar-26,33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skippy,10-mar-26,89,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clavel,10-mar-26,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilette Cuchillas,15-feb-26,127.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Oliva,16-feb-26,76,3,1,21-ene-26,126,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinagre Galón,12-feb-26,43,1,1,30-oct-26,43,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducray DS,12-feb-26,219,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISDIN Manos,12-feb-26,96,1,1,01-nov-25,134,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove Antitranspirante,12-feb-26,69,2,1,13-nov-25,48,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeraVe,03-feb-26,221,1,1,13-nov-25,223,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mermelada,03-feb-26,69,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Aerosol,21-ene-26,79.9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esponjas Metal,21-ene-26,30,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granola,21-ene-26,44.4,1,1,13-nov-25,41.93,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mole Doña María,02-ene-26,20,1,1,13-dic-25,19,1,1,13-nov-25,18.5,2,1,13-nov-25,18.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leche,02-ene-26,399,1,12,13-dic-25,336,1,12,13-nov-25,289,1,12,01-nov-25,318,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garnier Fructis,18-dic-25,50,1,1,13-nov-25,63,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barilla Espagueti,14-nov-25,22.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteína,14-nov-25,785,1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saba,13-nov-25,91,3,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivea Protector Solar,13-nov-25,165.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acondicionador,13-nov-25,80,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miel de Abeja,13-nov-25,90,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CeraVe Facial,13-nov-25,229,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayonesa,13-nov-25,73,1,0.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpic Destapacaños,13-nov-25,85,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISDIN Nutradeica,13-nov-25,366.98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Líquido,13-nov-25,209,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maizena,01-nov-25,25.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
